name,elo
SWEET BUT SALTY,2167.88629391692
Jigglybluff,2136.52393236871
IeetChips,2107.58020837586
fleabitten,2093.09603297706
maybenot,1992.9518259854
Jeff Lynne,1992.06546159624
PotHotBot,1982.50659379106
AAAKJ,1979.28870679107
my bad,1911.80315625179
AlphaOne,1889.50021735061
Team Name,1876.62150685905
B),1856.4187253759
BadBeatBot,1845.34351736939
Boners '22,1841.92143046022
Daniel Negreanu,1819.10447083687
Third Mid,1792.67142343452
:),1783.08875863808
GoKinCobra,1781.70393743783
Bananarchist,1773.68139460449
Heffalump Rangers,1753.89116812385
testing,1748.94406015333
PokerBrots,1741.53322372021
BigBlackJack,1739.62009930315
reference_staff,1737.56213175941
pockerbots,1735.77123915294
<^-^>,1733.89739352358
reference_lecture_2,1727.35837688067
pls STOP we BROKE,1726.94261269664
YEE,1726.63822998896
BluffBot,1710.74280606605
pkr face,1697.97729035875
Alev,1696.93988728853
 DevilMayCry,1695.02616101012
monochrome,1690.14614760902
OneBrother,1676.44789508625
Army Leggy,1668.37077014986
¡WHAM!,1650.9993336605
AlphaFish,1644.44031824938
Flush Boys,1637.88938276213
kaonashi,1637.33584691058
21,1630.09117532802
andrew's bots,1600.85402367821
TeamRocket,1592.69602777296
LadyMooseLizardPhi,1555.35845959628
preflop all in,1544.49779139726
Jesus Christ,1543.32393097111
Diamond Dogs,1538.671891045
Kappa Sigma C Team,1481.46488296315
CC Star,1464.74176582445
A.L.O.E.,1452.65878182358
Power JEM ,1445.88754439109
Icy,1426.84567559709
O-Chul Fan Club,1425.60420353256
Queens Club,1344.41362578866
yeet,1316.60480552303
Blind Plays,1229.31858343787
KKFlop,1141.66037080104
No One,1088.44600478171
SuperBots,1077.98289089828
reference_checkcall,1061.69931714691
ChocolateWarriors,1012.54812905271
bobo,1010.80599524327
LigmaCapital,949.690144545663
reference_lecture_1,945.864010695216
AP,840.965338229728
reference_random,747.602008371624
Hurrikeynes,713.238545962907
player1,538.91176318697
Juul in the Rough,491.325025932231
Army of One,385.071818403428
Tom Brady,348.848915837198
Pass,-349.925416631906
