name,elo
Jigglybluff,2283
SWEET BUT SALTY,2088
AAAKJ,2020
PotHotBot,1943
maybenot,1941
AlphaOne,1921
fleabitten,1901
Jeff Lynne,1883
my bad,1836
preflop all in,1799
IeetChips,1758
YEE,1756
¡WHAM!,1720
:),1693
pls STOP we BROKE,1691
BadBeatBot,1689
B),1687
Army Leggy,1685
Boners '22,1672
Bananarchist,1670
kaonashi,1666
Daniel Negreanu,1653
Third Mid,1644
andrew's bots,1631
GoKinCobra,1631
Team Name,1597
PokerBrots,1589
<^-^>,1583
testing,1579
reference_staff,1578
Heffalump Rangers,1577
reference_lecture_2,1572
pkr face,1567
BluffBot,1525
AlphaFish,1513
Diamond Dogs,1509
LadyMooseLizardPhi,1503
Flush Boys,1497
21,1458
CC Star,1454
TeamRocket,1385
A.L.O.E.,1335
Icy,1317
Kappa Sigma C Team,1264
Power JEM ,1246
Queens Club,1222
yeet,1161
Blind Plays,1131
No One,971
reference_lecture_1,890
ChocolateWarriors,859
reference_checkcall,855
AP,719
reference_random,583
Hurrikeynes,557
player1,540
