team_a_name,team_a_score,team_b_name,team_b_score,winner
reference_lecture_1,-1058,TeamRocket,1058,TeamRocket
TeamRocket,-38,Jigglybluff,38,Jigglybluff
TeamRocket,-68,:),68,:)
Jigglybluff,52,TeamRocket,-52,Jigglybluff
Boners '22,1320,reference_random,-1320,Boners '22
AP,-1230,yeet,1230,yeet
AP,-600,fleabitten,600,fleabitten
player1,409,reference_checkcall,-409,player1
reference_lecture_1,-349,player1,349,player1
reference_lecture_1,-1007,kaonashi,1007,kaonashi
AP,-1248,Team Name,1248,Team Name
Blind Plays,1316,reference_random,-1316,Blind Plays
reference_random,799,AP,-799,reference_random
Daniel Negreanu,1001,reference_checkcall,-1001,Daniel Negreanu
reference_lecture_1,-1090,Daniel Negreanu,1090,Daniel Negreanu
Daniel Negreanu,1158,reference_lecture_1,-1158,Daniel Negreanu
LadyMooseLizardPhi,-831,Team Name,831,Team Name
reference_lecture_1,-971,kaonashi,971,kaonashi
AP,-750,21,750,21
TeamRocket,-4281,Queens Club,4281,Queens Club
LadyMooseLizardPhi,-798,IeetChips,798,IeetChips
AP,-681,Blind Plays,681,Blind Plays
fleabitten,612,AP,-612,fleabitten
TeamRocket,-55,kaonashi,55,kaonashi
Power JEM ,-137,Blind Plays,137,Blind Plays
kaonashi,1624,reference_random,-1624,kaonashi
Daniel Negreanu,547,kaonashi,-547,Daniel Negreanu
Power JEM ,-107,Blind Plays,107,Blind Plays
BluffBot,-50,player1,50,player1
TeamRocket,-465,pkr face,465,pkr face
AAAKJ,92,player1,-92,AAAKJ
kaonashi,26,Blind Plays,-26,kaonashi
TeamRocket,-6088,reference_lecture_2,6088,reference_lecture_2
Jigglybluff,12,Blind Plays,-12,Jigglybluff
Daniel Negreanu,-145,LadyMooseLizardPhi,145,LadyMooseLizardPhi
kaonashi,-248,AAAKJ,248,AAAKJ
No One,527,TeamRocket,-527,No One
:),76,TeamRocket,-76,:)
TeamRocket,-135,21,135,21
AAAKJ,108,Boners '22,-108,AAAKJ
21,-359,Boners '22,359,Boners '22
21,466,Army Leggy,-466,21
Kappa Sigma C Team,-457,YEE,457,YEE
21,5,Blind Plays,-5,21
reference_checkcall,-1052,LadyMooseLizardPhi,1052,LadyMooseLizardPhi
¡WHAM!,-207,TeamRocket,207,TeamRocket
YEE,924,reference_checkcall,-924,YEE
reference_checkcall,-1275,Flush Boys,1275,Flush Boys
yeet,-567,AP,567,AP
21,-208,Jeff Lynne,208,Jeff Lynne
:),-243,Daniel Negreanu,243,Daniel Negreanu
LadyMooseLizardPhi,944,reference_lecture_1,-944,LadyMooseLizardPhi
reference_lecture_1,-837,SWEET BUT SALTY,837,SWEET BUT SALTY
21,-13,Jeff Lynne,13,Jeff Lynne
BluffBot,-604,YEE,604,YEE
pls STOP we BROKE,922,reference_random,-922,pls STOP we BROKE
AP,-353,player1,353,player1
Kappa Sigma C Team,-249,:),249,:)
IeetChips,-3,Jigglybluff,3,Jigglybluff
Flush Boys,528,preflop all in,-528,Flush Boys
21,-757,preflop all in,757,preflop all in
21,-35,PotHotBot,35,PotHotBot
Kappa Sigma C Team,-476,Jigglybluff,476,Jigglybluff
¡WHAM!,-270,fleabitten,270,fleabitten
yeet,-257,21,257,21
Daniel Negreanu,184,testing,-184,Daniel Negreanu
¡WHAM!,-172,AP,172,AP
Third Mid,281,TeamRocket,-281,Third Mid
pkr face,-133,21,133,21
PotHotBot,34,Blind Plays,-34,PotHotBot
21,753,AP,-753,21
maybenot,77,Jeff Lynne,-77,maybenot
¡WHAM!,-195,fleabitten,195,fleabitten
<^-^>,-199,¡WHAM!,199,¡WHAM!
reference_lecture_1,-918,Diamond Dogs,918,Diamond Dogs
reference_staff,2049,TeamRocket,-2049,reference_staff
BadBeatBot,379,Power JEM ,-379,BadBeatBot
¡WHAM!,497,AP,-497,¡WHAM!
reference_lecture_2,-327,Boners '22,327,Boners '22
kaonashi,-311,Boners '22,311,Boners '22
kaonashi,-247,pls STOP we BROKE,247,pls STOP we BROKE
Daniel Negreanu,281,CC Star,-281,Daniel Negreanu
No One,1391,reference_lecture_1,-1391,No One
reference_checkcall,-982,maybenot,982,maybenot
21,6,Blind Plays,-6,21
testing,-231,kaonashi,231,kaonashi
<^-^>,3493,Blind Plays,-3493,<^-^>
IeetChips,-1,21,1,21
¡WHAM!,-322,Flush Boys,322,Flush Boys
BadBeatBot,218,kaonashi,-218,BadBeatBot
IeetChips,-6,Jigglybluff,6,Jigglybluff
kaonashi,314,yeet,-314,kaonashi
Power JEM ,-3410,CC Star,3410,CC Star
reference_random,-17795,testing,17795,testing
SWEET BUT SALTY,673,AP,-673,SWEET BUT SALTY
Jeff Lynne,3829,reference_lecture_1,-3829,Jeff Lynne
yeet,-367,Daniel Negreanu,367,Daniel Negreanu
fleabitten,337,Diamond Dogs,-337,fleabitten
CC Star,-218,:),218,:)
¡WHAM!,201,:),-201,¡WHAM!
reference_random,-7740,andrew's bots,7740,andrew's bots
SWEET BUT SALTY,264,yeet,-264,SWEET BUT SALTY
PokerBrots,1273,BluffBot,-1273,PokerBrots
Flush Boys,98,yeet,-98,Flush Boys
andrew's bots,-101,kaonashi,101,kaonashi
Third Mid,-304,Jeff Lynne,304,Jeff Lynne
reference_checkcall,-1765,No One,1765,No One
reference_lecture_1,-1028,Bananarchist,1028,Bananarchist
BluffBot,-840,preflop all in,840,preflop all in
fleabitten,268,LadyMooseLizardPhi,-268,fleabitten
reference_random,-15064,Power JEM ,15064,Power JEM 
preflop all in,-719,kaonashi,719,kaonashi
pls STOP we BROKE,-95,fleabitten,95,fleabitten
pls STOP we BROKE,638,preflop all in,-638,pls STOP we BROKE
BadBeatBot,521,kaonashi,-521,BadBeatBot
Blind Plays,-5,YEE,5,YEE
:),251,Flush Boys,-251,:)
Jigglybluff,70,21,-70,Jigglybluff
my bad,3300,BluffBot,-3300,my bad
Team Name,-711,preflop all in,711,preflop all in
BluffBot,-699,fleabitten,699,fleabitten
player1,-977,21,977,21
fleabitten,-4,Jeff Lynne,4,Jeff Lynne
PotHotBot,284,pkr face,-284,PotHotBot
reference_staff,1826,Blind Plays,-1826,reference_staff
pkr face,-96,fleabitten,96,fleabitten
LadyMooseLizardPhi,13,PokerBrots,-13,LadyMooseLizardPhi
pls STOP we BROKE,-203,YEE,203,YEE
¡WHAM!,147,testing,-147,¡WHAM!
Diamond Dogs,-548,21,548,21
testing,-359,Third Mid,359,Third Mid
Diamond Dogs,-12,player1,12,player1
<^-^>,-121,fleabitten,121,fleabitten
¡WHAM!,286,CC Star,-286,¡WHAM!
Blind Plays,-251,AlphaOne,251,AlphaOne
Boners '22,-11074,Army Leggy,11074,Army Leggy
Power JEM ,-488,No One,488,No One
kaonashi,-456,PotHotBot,456,PotHotBot
Third Mid,226,Kappa Sigma C Team,-226,Third Mid
Jigglybluff,-29,21,29,21
Third Mid,21,Power JEM ,-21,Third Mid
testing,-327,PotHotBot,327,PotHotBot
Blind Plays,-2311,<^-^>,2311,<^-^>
PokerBrots,-112,Jeff Lynne,112,Jeff Lynne
Icy,-89,Jigglybluff,89,Jigglybluff
Blind Plays,-2701,reference_lecture_2,2701,reference_lecture_2
reference_checkcall,-13110,preflop all in,13110,preflop all in
¡WHAM!,160,CC Star,-160,¡WHAM!
BluffBot,-956,Third Mid,956,Third Mid
Power JEM ,2423,andrew's bots,-2423,Power JEM 
Diamond Dogs,-254,LadyMooseLizardPhi,254,LadyMooseLizardPhi
YEE,228,yeet,-228,YEE
PokerBrots,-156,Daniel Negreanu,156,Daniel Negreanu
PokerBrots,-56,21,56,21
testing,1297,AP,-1297,testing
21,-143,Jigglybluff,143,Jigglybluff
PotHotBot,416,Flush Boys,-416,PotHotBot
:),-40,PotHotBot,40,PotHotBot
andrew's bots,-95,21,95,21
Team Name,-325,kaonashi,325,kaonashi
:),-378,Jeff Lynne,378,Jeff Lynne
21,704,player1,-704,21
YEE,245,Boners '22,-245,YEE
maybenot,355,:),-355,maybenot
preflop all in,-67,Kappa Sigma C Team,67,Kappa Sigma C Team
Flush Boys,1282,B),-1282,Flush Boys
Diamond Dogs,40,Blind Plays,-40,Diamond Dogs
LadyMooseLizardPhi,-249,YEE,249,YEE
BluffBot,-2487,B),2487,B)
¡WHAM!,-171,Jigglybluff,171,Jigglybluff
maybenot,-82,AAAKJ,82,AAAKJ
¡WHAM!,193,<^-^>,-193,¡WHAM!
pls STOP we BROKE,100,Power JEM ,-100,pls STOP we BROKE
kaonashi,-1666,reference_staff,1666,reference_staff
SWEET BUT SALTY,1,Blind Plays,-1,SWEET BUT SALTY
SWEET BUT SALTY,304,Third Mid,-304,SWEET BUT SALTY
:),165,PokerBrots,-165,:)
BluffBot,-73,Diamond Dogs,73,Diamond Dogs
player1,-998,Flush Boys,998,Flush Boys
testing,-167,Boners '22,167,Boners '22
Jeff Lynne,89,andrew's bots,-89,Jeff Lynne
PokerBrots,-172,SWEET BUT SALTY,172,SWEET BUT SALTY
Blind Plays,-1,YEE,1,YEE
Hurrikeynes,-774,Boners '22,774,Boners '22
Army Leggy,1375,Daniel Negreanu,-1375,Army Leggy
andrew's bots,52,Jeff Lynne,-52,andrew's bots
¡WHAM!,53,Army Leggy,-53,¡WHAM!
Blind Plays,-7051,<^-^>,7051,<^-^>
Third Mid,2,IeetChips,-2,Third Mid
kaonashi,-768,reference_lecture_2,768,reference_lecture_2
yeet,-344,player1,344,player1
YEE,5,IeetChips,-5,YEE
BadBeatBot,516,BluffBot,-516,BadBeatBot
pkr face,1445,Flush Boys,-1445,pkr face
yeet,-9,player1,9,player1
pkr face,1168,LadyMooseLizardPhi,-1168,pkr face
BluffBot,-1295,andrew's bots,1295,andrew's bots
Daniel Negreanu,-449,YEE,449,YEE
Third Mid,1294,reference_random,-1294,Third Mid
kaonashi,486,CC Star,-486,kaonashi
kaonashi,-231,AAAKJ,231,AAAKJ
LadyMooseLizardPhi,-225,Jeff Lynne,225,Jeff Lynne
kaonashi,-3326,reference_lecture_2,3326,reference_lecture_2
