team_a_name,team_a_score,team_b_name,team_b_score,winner
reference_staff,-50,Jeff Lynne,50,Jeff Lynne
fleabitten,-271,Army Leggy,271,Army Leggy
PotHotBot,367,SWEET BUT SALTY,-367,PotHotBot
PotHotBot,499,AP,-499,PotHotBot
AP,-744,Jeff Lynne,744,Jeff Lynne
AAAKJ,672,AP,-672,AAAKJ
<^-^>,-394,AAAKJ,394,AAAKJ
Blind Plays,-5018,<^-^>,5018,<^-^>
andrew's bots,-27,Blind Plays,27,Blind Plays
preflop all in,494,Boners '22,-494,preflop all in
andrew's bots,6,pkr face,-6,andrew's bots
BluffBot,-283,AlphaOne,283,AlphaOne
AP,-627,fleabitten,627,fleabitten
Daniel Negreanu,141,PokerBrots,-141,Daniel Negreanu
pls STOP we BROKE,-243,AAAKJ,243,AAAKJ
Army Leggy,1990,reference_staff,-1990,Army Leggy
LadyMooseLizardPhi,-2724,Army Leggy,2724,Army Leggy
Third Mid,-377,Daniel Negreanu,377,Daniel Negreanu
Boners '22,157,Blind Plays,-157,Boners '22
YEE,152,PokerBrots,-152,YEE
preflop all in,4127,B),-4127,preflop all in
IeetChips,4,Army Leggy,-4,IeetChips
maybenot,191,pls STOP we BROKE,-191,maybenot
pls STOP we BROKE,127,maybenot,-127,pls STOP we BROKE
LadyMooseLizardPhi,-3014,reference_staff,3014,reference_staff
reference_lecture_2,-831,reference_staff,831,reference_staff
<^-^>,-48,AAAKJ,48,AAAKJ
IeetChips,-4,Diamond Dogs,4,Diamond Dogs
PotHotBot,972,reference_random,-972,PotHotBot
LadyMooseLizardPhi,-327,AlphaOne,327,AlphaOne
andrew's bots,-2378,Power JEM ,2378,Power JEM 
AAAKJ,-282,maybenot,282,maybenot
PokerBrots,-118,maybenot,118,maybenot
21,138,reference_staff,-138,21
reference_lecture_1,-154,Hurrikeynes,154,Hurrikeynes
<^-^>,-345,andrew's bots,345,andrew's bots
:),25,IeetChips,-25,:)
preflop all in,674,pkr face,-674,preflop all in
preflop all in,467,AAAKJ,-467,preflop all in
fleabitten,161,testing,-161,fleabitten
AP,-38,Hurrikeynes,38,Hurrikeynes
Flush Boys,721,player1,-721,Flush Boys
preflop all in,-2054,Army Leggy,2054,Army Leggy
BluffBot,-730,GoKinCobra,730,GoKinCobra
AAAKJ,166,<^-^>,-166,AAAKJ
<^-^>,-158,PokerBrots,158,PokerBrots
Hurrikeynes,-765,kaonashi,765,kaonashi
Hurrikeynes,-767,:),767,:)
IeetChips,736,Hurrikeynes,-736,IeetChips
reference_lecture_2,227,maybenot,-227,reference_lecture_2
Kappa Sigma C Team,-276,AP,276,AP
IeetChips,-1,YEE,1,YEE
Hurrikeynes,110,AP,-110,Hurrikeynes
reference_lecture_2,-470,andrew's bots,470,andrew's bots
No One,-5768,:),5768,:)
Kappa Sigma C Team,-264,pls STOP we BROKE,264,pls STOP we BROKE
Heffalump Rangers,433,Power JEM ,-433,Heffalump Rangers
pls STOP we BROKE,123,Flush Boys,-123,pls STOP we BROKE
GoKinCobra,937,BluffBot,-937,GoKinCobra
Daniel Negreanu,656,Hurrikeynes,-656,Daniel Negreanu
21,66,andrew's bots,-66,21
maybenot,303,AAAKJ,-303,maybenot
<^-^>,-1988,andrew's bots,1988,andrew's bots
Team Name,-275,Jigglybluff,275,Jigglybluff
andrew's bots,-2447,Power JEM ,2447,Power JEM 
Flush Boys,165,TeamRocket,-165,Flush Boys
andrew's bots,-99,Jeff Lynne,99,Jeff Lynne
maybenot,137,GoKinCobra,-137,maybenot
Hurrikeynes,-730,Boners '22,730,Boners '22
reference_lecture_1,-1142,TeamRocket,1142,TeamRocket
Diamond Dogs,-958,reference_lecture_2,958,reference_lecture_2
¡WHAM!,99,andrew's bots,-99,¡WHAM!
reference_lecture_1,-905,Diamond Dogs,905,Diamond Dogs
Blind Plays,-3,:),3,:)
pkr face,-21,21,21,21
TeamRocket,106,maybenot,-106,TeamRocket
BluffBot,-625,Heffalump Rangers,625,Heffalump Rangers
21,706,BluffBot,-706,21
¡WHAM!,85,Heffalump Rangers,-85,¡WHAM!
Heffalump Rangers,388,reference_lecture_1,-388,Heffalump Rangers
BadBeatBot,14,Blind Plays,-14,BadBeatBot
pls STOP we BROKE,1803,B),-1803,pls STOP we BROKE
Diamond Dogs,-528,Daniel Negreanu,528,Daniel Negreanu
Diamond Dogs,-193,AAAKJ,193,AAAKJ
¡WHAM!,-576,my bad,576,my bad
ChocolateWarriors,-221,TeamRocket,221,TeamRocket
AP,-1320,pkr face,1320,pkr face
reference_random,-1700,ChocolateWarriors,1700,ChocolateWarriors
andrew's bots,39,Icy,-39,andrew's bots
Heffalump Rangers,-458,AAAKJ,458,AAAKJ
Army Leggy,286,IeetChips,-286,Army Leggy
IeetChips,26,andrew's bots,-26,IeetChips
Heffalump Rangers,190,Power JEM ,-190,Heffalump Rangers
reference_lecture_1,419,ChocolateWarriors,-419,reference_lecture_1
reference_checkcall,-1079,GoKinCobra,1079,GoKinCobra
Hurrikeynes,-514,preflop all in,514,preflop all in
B),1381,reference_lecture_1,-1381,B)
Blind Plays,714,reference_lecture_1,-714,Blind Plays
Power JEM ,-482,Heffalump Rangers,482,Heffalump Rangers
SWEET BUT SALTY,750,BluffBot,-750,SWEET BUT SALTY
Flush Boys,73,PokerBrots,-73,Flush Boys
reference_checkcall,-9186,reference_staff,9186,reference_staff
TeamRocket,183,Queens Club,-183,TeamRocket
maybenot,813,player1,-813,maybenot
andrew's bots,-127,TeamRocket,127,TeamRocket
andrew's bots,-764,BluffBot,764,BluffBot
reference_random,-609,AlphaOne,609,AlphaOne
AAAKJ,657,Heffalump Rangers,-657,AAAKJ
player1,-1006,preflop all in,1006,preflop all in
Bananarchist,4768,No One,-4768,Bananarchist
Daniel Negreanu,707,AP,-707,Daniel Negreanu
Boners '22,686,Queens Club,-686,Boners '22
Boners '22,899,reference_checkcall,-899,Boners '22
PokerBrots,-2516,Icy,2516,Icy
yeet,1179,ChocolateWarriors,-1179,yeet
BluffBot,1581,AlphaOne,-1581,BluffBot
PotHotBot,5199,No One,-5199,PotHotBot
Boners '22,-112,Jeff Lynne,112,Jeff Lynne
reference_random,-514,Blind Plays,514,Blind Plays
AlphaOne,25,Blind Plays,-25,AlphaOne
AP,372,AlphaOne,-372,AP
LadyMooseLizardPhi,-296,SWEET BUT SALTY,296,SWEET BUT SALTY
¡WHAM!,27,reference_checkcall,-27,¡WHAM!
Bananarchist,576,¡WHAM!,-576,Bananarchist
21,-2794,my bad,2794,my bad
AlphaOne,290,:),-290,AlphaOne
PokerBrots,-220,SWEET BUT SALTY,220,SWEET BUT SALTY
PokerBrots,1716,¡WHAM!,-1716,PokerBrots
reference_lecture_1,-39,ChocolateWarriors,39,ChocolateWarriors
¡WHAM!,409,PokerBrots,-409,¡WHAM!
Icy,-1636,PokerBrots,1636,PokerBrots
BadBeatBot,636,reference_checkcall,-636,BadBeatBot
:),490,Heffalump Rangers,-490,:)
B),1969,GoKinCobra,-1969,B)
Flush Boys,143,YEE,-143,Flush Boys
ChocolateWarriors,-586,AAAKJ,586,AAAKJ
PokerBrots,10893,reference_checkcall,-10893,PokerBrots
IeetChips,-488,pkr face,488,pkr face
AAAKJ,766,PotHotBot,-766,AAAKJ
Jeff Lynne,265,CC Star,-265,Jeff Lynne
Third Mid,-755,andrew's bots,755,andrew's bots
GoKinCobra,727,kaonashi,-727,GoKinCobra
Jigglybluff,-142,YEE,142,YEE
AP,-183,ChocolateWarriors,183,ChocolateWarriors
reference_checkcall,-3834,CC Star,3834,CC Star
BluffBot,-1019,preflop all in,1019,preflop all in
Hurrikeynes,-1436,Icy,1436,Icy
Heffalump Rangers,-396,PotHotBot,396,PotHotBot
Third Mid,383,fleabitten,-383,Third Mid
player1,-659,Bananarchist,659,Bananarchist
reference_checkcall,-10321,Kappa Sigma C Team,10321,Kappa Sigma C Team
reference_random,-1118,21,1118,21
ChocolateWarriors,-858,preflop all in,858,preflop all in
Boners '22,334,Kappa Sigma C Team,-334,Boners '22
Bananarchist,138,pkr face,-138,Bananarchist
kaonashi,-271,AlphaOne,271,AlphaOne
Blind Plays,-3777,testing,3777,testing
Jigglybluff,425,AAAKJ,-425,Jigglybluff
pls STOP we BROKE,659,BluffBot,-659,pls STOP we BROKE
Boners '22,204,pkr face,-204,Boners '22
ChocolateWarriors,-656,AAAKJ,656,AAAKJ
fleabitten,237,Heffalump Rangers,-237,fleabitten
Daniel Negreanu,522,Diamond Dogs,-522,Daniel Negreanu
Queens Club,-969,kaonashi,969,kaonashi
Army Leggy,-41,SWEET BUT SALTY,41,SWEET BUT SALTY
ChocolateWarriors,-862,Boners '22,862,Boners '22
reference_random,-16561,pkr face,16561,pkr face
Jigglybluff,433,Bananarchist,-433,Jigglybluff
TeamRocket,769,BluffBot,-769,TeamRocket
Hurrikeynes,-498,preflop all in,498,preflop all in
BadBeatBot,17,Blind Plays,-17,BadBeatBot
LadyMooseLizardPhi,-373,GoKinCobra,373,GoKinCobra
maybenot,-106,TeamRocket,106,TeamRocket
PokerBrots,4360,yeet,-4360,PokerBrots
testing,2268,Blind Plays,-2268,testing
Jeff Lynne,437,ChocolateWarriors,-437,Jeff Lynne
Third Mid,4053,No One,-4053,Third Mid
kaonashi,-227,:),227,:)
BluffBot,-2829,reference_lecture_2,2829,reference_lecture_2
IeetChips,721,ChocolateWarriors,-721,IeetChips
reference_random,-1187,TeamRocket,1187,TeamRocket
Heffalump Rangers,-114,player1,114,player1
AP,-662,Jigglybluff,662,Jigglybluff
reference_lecture_2,-1181,andrew's bots,1181,andrew's bots
AlphaOne,151,Boners '22,-151,AlphaOne
ChocolateWarriors,-362,reference_staff,362,reference_staff
Jeff Lynne,164,andrew's bots,-164,Jeff Lynne
No One,-6382,:),6382,:)
Flush Boys,332,Queens Club,-332,Flush Boys
BluffBot,-5468,CC Star,5468,CC Star
Blind Plays,-22176,Team Name,22176,Team Name
Bananarchist,-1137,BluffBot,1137,BluffBot
:),-3280,Icy,3280,Icy
kaonashi,110,Heffalump Rangers,-110,kaonashi
reference_lecture_2,1704,Hurrikeynes,-1704,reference_lecture_2
SWEET BUT SALTY,80,TeamRocket,-80,SWEET BUT SALTY
No One,-4258,Daniel Negreanu,4258,Daniel Negreanu
reference_checkcall,-7674,andrew's bots,7674,andrew's bots
<^-^>,-2665,Icy,2665,Icy
BluffBot,-544,SWEET BUT SALTY,544,SWEET BUT SALTY
Jeff Lynne,6570,reference_lecture_1,-6570,Jeff Lynne
Diamond Dogs,452,pls STOP we BROKE,-452,Diamond Dogs
Jigglybluff,284,YEE,-284,Jigglybluff
Jigglybluff,-150,AlphaOne,150,AlphaOne
Queens Club,-864,Daniel Negreanu,864,Daniel Negreanu
Flush Boys,-731,testing,731,testing
Daniel Negreanu,-50,maybenot,50,maybenot
21,-193,BadBeatBot,193,BadBeatBot
reference_staff,-1264,B),1264,B)
Power JEM ,1886,player1,-1886,Power JEM 
IeetChips,-237,Icy,237,Icy
LadyMooseLizardPhi,884,reference_random,-884,LadyMooseLizardPhi
PotHotBot,86,reference_checkcall,-86,PotHotBot
Boners '22,438,reference_lecture_2,-438,Boners '22
Blind Plays,675,BluffBot,-675,Blind Plays
reference_staff,10550,reference_checkcall,-10550,reference_staff
Team Name,-2265,testing,2265,testing
andrew's bots,1566,GoKinCobra,-1566,andrew's bots
player1,117,ChocolateWarriors,-117,player1
preflop all in,7937,reference_checkcall,-7937,preflop all in
TeamRocket,-33710,BluffBot,33710,BluffBot
Flush Boys,-170,Jigglybluff,170,Jigglybluff
Jeff Lynne,803,Queens Club,-803,Jeff Lynne
Army Leggy,1291,Bananarchist,-1291,Army Leggy
Blind Plays,-2,player1,2,player1
GoKinCobra,665,Blind Plays,-665,GoKinCobra
IeetChips,-101,Heffalump Rangers,101,Heffalump Rangers
Power JEM ,-139,AAAKJ,139,AAAKJ
AP,-1269,yeet,1269,yeet
GoKinCobra,634,Blind Plays,-634,GoKinCobra
AAAKJ,561,Heffalump Rangers,-561,AAAKJ
<^-^>,12882,:),-12882,<^-^>
reference_lecture_1,-3733,CC Star,3733,CC Star
¡WHAM!,313,Army Leggy,-313,¡WHAM!
maybenot,241,Heffalump Rangers,-241,maybenot
Flush Boys,203,AlphaOne,-203,Flush Boys
yeet,-4947,reference_lecture_2,4947,reference_lecture_2
No One,-6359,Diamond Dogs,6359,Diamond Dogs
ChocolateWarriors,-439,AAAKJ,439,AAAKJ
Flush Boys,-122,¡WHAM!,122,¡WHAM!
GoKinCobra,800,testing,-800,GoKinCobra
Team Name,609,Daniel Negreanu,-609,Team Name
Jeff Lynne,687,Queens Club,-687,Jeff Lynne
ChocolateWarriors,-1229,PokerBrots,1229,PokerBrots
GoKinCobra,566,reference_staff,-566,GoKinCobra
B),-784,AAAKJ,784,AAAKJ
Boners '22,-156,Daniel Negreanu,156,Daniel Negreanu
:),-55,AAAKJ,55,AAAKJ
GoKinCobra,-8431,reference_lecture_2,8431,reference_lecture_2
Icy,1297,Team Name,-1297,Icy
Icy,6288,GoKinCobra,-6288,Icy
Team Name,10841,TeamRocket,-10841,Team Name
Team Name,943,:),-943,Team Name
testing,1720,Hurrikeynes,-1720,testing
Kappa Sigma C Team,-14184,reference_lecture_2,14184,reference_lecture_2
GoKinCobra,644,Kappa Sigma C Team,-644,GoKinCobra
reference_random,-16145,reference_staff,16145,reference_staff
fleabitten,621,AP,-621,fleabitten
B),2204,Heffalump Rangers,-2204,B)
pkr face,267,Queens Club,-267,pkr face
Hurrikeynes,-1869,reference_lecture_2,1869,reference_lecture_2
Queens Club,-34,<^-^>,34,<^-^>
Team Name,-57,reference_staff,57,reference_staff
Blind Plays,-3,21,3,21
pls STOP we BROKE,1831,B),-1831,pls STOP we BROKE
reference_staff,15085,Kappa Sigma C Team,-15085,reference_staff
21,1184,my bad,-1184,21
player1,-816,pls STOP we BROKE,816,pls STOP we BROKE
Daniel Negreanu,-612,GoKinCobra,612,GoKinCobra
Third Mid,112,pls STOP we BROKE,-112,Third Mid
CC Star,-1654,Queens Club,1654,Queens Club
my bad,2241,Third Mid,-2241,my bad
BluffBot,26605,Blind Plays,-26605,BluffBot
PokerBrots,15359,:),-15359,PokerBrots
testing,-2957,my bad,2957,my bad
my bad,2183,preflop all in,-2183,my bad
LadyMooseLizardPhi,202,testing,-202,LadyMooseLizardPhi
AlphaOne,-247,TeamRocket,247,TeamRocket
B),-1318,Third Mid,1318,Third Mid
<^-^>,-364,BadBeatBot,364,BadBeatBot
¡WHAM!,128,Bananarchist,-128,¡WHAM!
reference_staff,9634,Kappa Sigma C Team,-9634,reference_staff
Kappa Sigma C Team,-4183,Queens Club,4183,Queens Club
Hurrikeynes,-588,Diamond Dogs,588,Diamond Dogs
fleabitten,162,pls STOP we BROKE,-162,fleabitten
my bad,1098,pkr face,-1098,my bad
Jigglybluff,99,reference_lecture_2,-99,Jigglybluff
IeetChips,-49,GoKinCobra,49,GoKinCobra
Bananarchist,390,pkr face,-390,Bananarchist
ChocolateWarriors,-1005,Third Mid,1005,Third Mid
fleabitten,-2,SWEET BUT SALTY,2,SWEET BUT SALTY
No One,-5122,Jeff Lynne,5122,Jeff Lynne
kaonashi,829,Queens Club,-829,kaonashi
reference_random,187,AP,-187,reference_random
AlphaOne,-623,21,623,21
Diamond Dogs,-194,BadBeatBot,194,BadBeatBot
Daniel Negreanu,653,preflop all in,-653,Daniel Negreanu
Queens Club,819,AP,-819,Queens Club
Bananarchist,-368,maybenot,368,maybenot
TeamRocket,14,Power JEM ,-14,TeamRocket
pkr face,2304,Blind Plays,-2304,pkr face
LadyMooseLizardPhi,1934,B),-1934,LadyMooseLizardPhi
YEE,104,GoKinCobra,-104,YEE
ChocolateWarriors,284,B),-284,ChocolateWarriors
Bananarchist,474,:),-474,Bananarchist
YEE,223,Diamond Dogs,-223,YEE
YEE,219,21,-219,YEE
B),-977,IeetChips,977,IeetChips
Team Name,859,testing,-859,Team Name
AAAKJ,191,Icy,-191,AAAKJ
reference_lecture_2,387,testing,-387,reference_lecture_2
player1,61,kaonashi,-61,player1
ChocolateWarriors,-893,my bad,893,my bad
Queens Club,424,pkr face,-424,Queens Club
maybenot,-109,AlphaOne,109,AlphaOne
Flush Boys,618,ChocolateWarriors,-618,Flush Boys
reference_random,-11261,Army Leggy,11261,Army Leggy
my bad,5674,BadBeatBot,-5674,my bad
AAAKJ,237,BadBeatBot,-237,AAAKJ
Team Name,-359,PokerBrots,359,PokerBrots
Diamond Dogs,-191,Bananarchist,191,Bananarchist
Diamond Dogs,-363,maybenot,363,maybenot
21,73,testing,-73,21
Kappa Sigma C Team,3714,player1,-3714,Kappa Sigma C Team
Blind Plays,-513,No One,513,No One
preflop all in,9202,No One,-9202,preflop all in
reference_lecture_1,-998,kaonashi,998,kaonashi
BluffBot,66441,reference_lecture_1,-66441,BluffBot
Bananarchist,-354,PotHotBot,354,PotHotBot
IeetChips,42,preflop all in,-42,IeetChips
Team Name,-461,my bad,461,my bad
kaonashi,94,21,-94,kaonashi
reference_staff,2477,CC Star,-2477,reference_staff
21,1362,ChocolateWarriors,-1362,21
PotHotBot,241,GoKinCobra,-241,PotHotBot
reference_random,-18482,yeet,18482,yeet
LadyMooseLizardPhi,-328,21,328,21
AAAKJ,260,21,-260,AAAKJ
GoKinCobra,-100,Boners '22,100,Boners '22
TeamRocket,230,Icy,-230,TeamRocket
B),-1791,BadBeatBot,1791,BadBeatBot
AlphaOne,843,reference_lecture_1,-843,AlphaOne
¡WHAM!,153,LadyMooseLizardPhi,-153,¡WHAM!
Bananarchist,-776,my bad,776,my bad
reference_checkcall,-890,kaonashi,890,kaonashi
player1,-4067,CC Star,4067,CC Star
YEE,897,reference_lecture_1,-897,YEE
Boners '22,451,yeet,-451,Boners '22
