team_a_name,team_a_score,team_b_name,team_b_score,winner
IeetChips,144,Bananarchist,-144,IeetChips
Icy,30950,reference_random,-30950,Icy
AlphaFish,-651,PotHotBot,651,PotHotBot
fleabitten,305,Power JEM ,-305,fleabitten
preflop all in,1099,:),-1099,preflop all in
Flush Boys,303,Queens Club,-303,Flush Boys
AP,-700,kaonashi,700,kaonashi
AlphaOne,278,yeet,-278,AlphaOne
preflop all in,-827,Third Mid,827,Third Mid
Bananarchist,-390,Jeff Lynne,390,Jeff Lynne
:),103,AlphaFish,-103,:)
BluffBot,-46,Army Leggy,46,Army Leggy
reference_staff,-261,Jigglybluff,261,Jigglybluff
AlphaFish,1289,Flush Boys,-1289,AlphaFish
Icy,-378,¡WHAM!,378,¡WHAM!
SWEET BUT SALTY,490,Kappa Sigma C Team,-490,SWEET BUT SALTY
reference_random,-898,Boners '22,898,Boners '22
LadyMooseLizardPhi,1063,Kappa Sigma C Team,-1063,LadyMooseLizardPhi
yeet,1296,Kappa Sigma C Team,-1296,yeet
Third Mid,724,AP,-724,Third Mid
pkr face,-131,Jeff Lynne,131,Jeff Lynne
Power JEM ,-476,Daniel Negreanu,476,Daniel Negreanu
kaonashi,-420,Jigglybluff,420,Jigglybluff
Jigglybluff,488,reference_staff,-488,Jigglybluff
fleabitten,239,CC Star,-239,fleabitten
Jeff Lynne,-39,Flush Boys,39,Flush Boys
:),453,Kappa Sigma C Team,-453,:)
Heffalump Rangers,-185,Jigglybluff,185,Jigglybluff
Jeff Lynne,238,CC Star,-238,Jeff Lynne
kaonashi,-380,fleabitten,380,fleabitten
andrew's bots,1970,player1,-1970,andrew's bots
pls STOP we BROKE,157,21,-157,pls STOP we BROKE
TeamRocket,-2845,GoKinCobra,2845,GoKinCobra
preflop all in,1100,reference_lecture_2,-1100,preflop all in
BluffBot,-913,reference_lecture_2,913,reference_lecture_2
Flush Boys,344,¡WHAM!,-344,Flush Boys
reference_staff,-201,SWEET BUT SALTY,201,SWEET BUT SALTY
PotHotBot,407,Blind Plays,-407,PotHotBot
AlphaOne,89,Bananarchist,-89,AlphaOne
<^-^>,1323,AP,-1323,<^-^>
IeetChips,-153,pkr face,153,pkr face
AP,-1328,PokerBrots,1328,PokerBrots
¡WHAM!,550,player1,-550,¡WHAM!
Boners '22,-362,:),362,:)
:),-209,maybenot,209,maybenot
Third Mid,436,¡WHAM!,-436,Third Mid
YEE,111,BluffBot,-111,YEE
Blind Plays,602,Power JEM ,-602,Blind Plays
Power JEM ,-331,Boners '22,331,Boners '22
preflop all in,-463,IeetChips,463,IeetChips
AlphaFish,10999,reference_checkcall,-10999,AlphaFish
AlphaFish,10849,reference_checkcall,-10849,AlphaFish
Third Mid,-815,maybenot,815,maybenot
Boners '22,367,BluffBot,-367,Boners '22
AlphaOne,754,LadyMooseLizardPhi,-754,AlphaOne
Queens Club,-2705,AlphaFish,2705,AlphaFish
kaonashi,-13,Flush Boys,13,Flush Boys
pls STOP we BROKE,902,reference_lecture_1,-902,pls STOP we BROKE
Army Leggy,-86,Jeff Lynne,86,Jeff Lynne
TeamRocket,-89,AlphaOne,89,AlphaOne
¡WHAM!,115,Flush Boys,-115,¡WHAM!
Diamond Dogs,-241,maybenot,241,maybenot
Flush Boys,-112,YEE,112,YEE
Jeff Lynne,232,SWEET BUT SALTY,-232,Jeff Lynne
:),345,TeamRocket,-345,:)
Queens Club,-2919,AlphaFish,2919,AlphaFish
kaonashi,336,:),-336,kaonashi
Boners '22,116,pls STOP we BROKE,-116,Boners '22
¡WHAM!,333,testing,-333,¡WHAM!
IeetChips,96,BluffBot,-96,IeetChips
reference_staff,-113,YEE,113,YEE
Daniel Negreanu,-237,Third Mid,237,Third Mid
fleabitten,97,BadBeatBot,-97,fleabitten
Heffalump Rangers,-259,IeetChips,259,IeetChips
Blind Plays,-404,PotHotBot,404,PotHotBot
LadyMooseLizardPhi,1014,reference_random,-1014,LadyMooseLizardPhi
reference_staff,-287,Bananarchist,287,Bananarchist
my bad,-326,fleabitten,326,fleabitten
Third Mid,98,Heffalump Rangers,-98,Third Mid
reference_lecture_2,-279,Third Mid,279,Third Mid
21,-2815,AlphaFish,2815,AlphaFish
pls STOP we BROKE,-177,kaonashi,177,kaonashi
AP,-1358,Icy,1358,Icy
CC Star,4732,Blind Plays,-4732,CC Star
PokerBrots,684,Flush Boys,-684,PokerBrots
reference_checkcall,-2465,B),2465,B)
reference_lecture_1,-937,IeetChips,937,IeetChips
preflop all in,12117,reference_lecture_1,-12117,preflop all in
Daniel Negreanu,-1193,Army Leggy,1193,Army Leggy
pls STOP we BROKE,217,Heffalump Rangers,-217,pls STOP we BROKE
BluffBot,-38,reference_lecture_2,38,reference_lecture_2
AAAKJ,-204,Flush Boys,204,Flush Boys
LadyMooseLizardPhi,103,CC Star,-103,LadyMooseLizardPhi
LadyMooseLizardPhi,1050,Hurrikeynes,-1050,LadyMooseLizardPhi
BluffBot,47134,reference_checkcall,-47134,BluffBot
LadyMooseLizardPhi,358,yeet,-358,LadyMooseLizardPhi
AAAKJ,164,:),-164,AAAKJ
testing,2198,Blind Plays,-2198,testing
testing,1596,kaonashi,-1596,testing
Hurrikeynes,-2,player1,2,player1
maybenot,145,testing,-145,maybenot
yeet,-138,BadBeatBot,138,BadBeatBot
AAAKJ,469,CC Star,-469,AAAKJ
Hurrikeynes,-1331,TeamRocket,1331,TeamRocket
Queens Club,-418,pls STOP we BROKE,418,pls STOP we BROKE
Army Leggy,-1113,reference_lecture_2,1113,reference_lecture_2
reference_lecture_2,-437,Third Mid,437,Third Mid
Blind Plays,-8,¡WHAM!,8,¡WHAM!
BluffBot,-215,Bananarchist,215,Bananarchist
reference_staff,152,Flush Boys,-152,reference_staff
Power JEM ,-281,Third Mid,281,Third Mid
Icy,-319,maybenot,319,maybenot
preflop all in,1677,CC Star,-1677,preflop all in
Jigglybluff,225,my bad,-225,Jigglybluff
Army Leggy,-44,Flush Boys,44,Flush Boys
Jigglybluff,252,BadBeatBot,-252,Jigglybluff
preflop all in,789,Kappa Sigma C Team,-789,preflop all in
Flush Boys,-127,:),127,:)
pls STOP we BROKE,54,:),-54,pls STOP we BROKE
AP,-677,Daniel Negreanu,677,Daniel Negreanu
