name,elo
Jigglybluff,2140
PotHotBot,2061
AAAKJ,1998
SWEET BUT SALTY,1963
maybenot,1942
reference_plus,1908
fleabitten,1903
Jeff Lynne,1875
my bad,1842
AlphaFish,1836
AlphaOne,1774
kaonashi,1729
preflop all in,1716
YEE,1697
andrew's bots,1693
Third Mid,1660
¡WHAM!,1660
Daniel Negreanu,1654
GoKinCobra,1654
pls STOP we BROKE,1651
21,1651
Boners '22,1645
Army Leggy,1643
Bananarchist,1635
Icy,1612
pkr face,1592
reference_staff,1583
reference_lecture_2,1582
<^-^>,1575
PokerBrots,1561
testing,1561
Team Name,1468
CC Star,1466
BadBeatBot,1463
Diamond Dogs,1459
Flush Boys,1457
LadyMooseLizardPhi,1456
TeamRocket,1442
Queens Club,1429
:),1403
B),1398
A.L.O.E.,1348
IeetChips,1289
Kappa Sigma C Team,1279
BluffBot,1255
Power JEM ,1249
player1,1197
yeet,1170
Blind Plays,1161
Heffalump Rangers,1151
No One,982
ChocolateWarriors,954
reference_lecture_1,909
reference_checkcall,894
AP,808
Hurrikeynes,725
reference_random,693
