team_a_name,team_a_score,team_b_name,team_b_score,winner
kaonashi,685,reference_random,-685,kaonashi
Blind Plays,111,Power JEM ,-111,Blind Plays
PotHotBot,1177,reference_lecture_1,-1177,PotHotBot
TeamRocket,-345,¡WHAM!,345,¡WHAM!
reference_random,-1231,21,1231,21
fleabitten,627,AP,-627,fleabitten
Team Name,1451,LadyMooseLizardPhi,-1451,Team Name
reference_random,-1013,Diamond Dogs,1013,Diamond Dogs
21,753,AP,-753,21
reference_random,-1286,Flush Boys,1286,Flush Boys
reference_random,-1072,AAAKJ,1072,AAAKJ
¡WHAM!,-536,PotHotBot,536,PotHotBot
kaonashi,-405,¡WHAM!,405,¡WHAM!
Jigglybluff,960,reference_lecture_1,-960,Jigglybluff
21,-558,preflop all in,558,preflop all in
Power JEM ,-101,Jigglybluff,101,Jigglybluff
Icy,2576,TeamRocket,-2576,Icy
reference_checkcall,-924,Boners '22,924,Boners '22
LadyMooseLizardPhi,346,kaonashi,-346,LadyMooseLizardPhi
Flush Boys,964,reference_lecture_1,-964,Flush Boys
Jeff Lynne,234,TeamRocket,-234,Jeff Lynne
reference_plus,763,reference_checkcall,-763,reference_plus
reference_checkcall,-832,Boners '22,832,Boners '22
TeamRocket,-227,21,227,21
LadyMooseLizardPhi,-304,Boners '22,304,Boners '22
Blind Plays,-11,Boners '22,11,Boners '22
Boners '22,287,kaonashi,-287,Boners '22
AAAKJ,885,reference_lecture_1,-885,AAAKJ
Power JEM ,1870,player1,-1870,Power JEM 
BluffBot,-906,Diamond Dogs,906,Diamond Dogs
reference_checkcall,-1148,PotHotBot,1148,PotHotBot
reference_lecture_1,-963,AAAKJ,963,AAAKJ
IeetChips,39,LadyMooseLizardPhi,-39,IeetChips
AAAKJ,237,LadyMooseLizardPhi,-237,AAAKJ
¡WHAM!,546,reference_lecture_2,-546,¡WHAM!
YEE,694,¡WHAM!,-694,YEE
TeamRocket,-53,pls STOP we BROKE,53,pls STOP we BROKE
TeamRocket,-2031,PokerBrots,2031,PokerBrots
andrew's bots,-65,kaonashi,65,kaonashi
reference_random,-893,Jeff Lynne,893,Jeff Lynne
IeetChips,-7,21,7,21
Jigglybluff,327,pls STOP we BROKE,-327,Jigglybluff
Kappa Sigma C Team,-533,Boners '22,533,Boners '22
reference_checkcall,-935,Boners '22,935,Boners '22
pls STOP we BROKE,1197,reference_random,-1197,pls STOP we BROKE
Blind Plays,-2,Daniel Negreanu,2,Daniel Negreanu
Boners '22,-95,:),95,:)
IeetChips,-5,Jigglybluff,5,Jigglybluff
reference_lecture_1,-830,reference_plus,830,reference_plus
Diamond Dogs,-373,TeamRocket,373,TeamRocket
player1,-460,TeamRocket,460,TeamRocket
Jigglybluff,30,Flush Boys,-30,Jigglybluff
¡WHAM!,306,Kappa Sigma C Team,-306,¡WHAM!
reference_checkcall,-982,Bananarchist,982,Bananarchist
AAAKJ,429,:),-429,AAAKJ
AP,-822,BluffBot,822,BluffBot
AP,-684,Boners '22,684,Boners '22
reference_random,-1080,Jeff Lynne,1080,Jeff Lynne
Diamond Dogs,3,Blind Plays,-3,Diamond Dogs
Army Leggy,-94,Daniel Negreanu,94,Daniel Negreanu
reference_checkcall,-1652,No One,1652,No One
pls STOP we BROKE,707,AP,-707,pls STOP we BROKE
preflop all in,-788,YEE,788,YEE
<^-^>,-149,YEE,149,YEE
Daniel Negreanu,297,Third Mid,-297,Daniel Negreanu
Jeff Lynne,308,Boners '22,-308,Jeff Lynne
<^-^>,-134,Boners '22,134,Boners '22
Diamond Dogs,-246,21,246,21
YEE,249,yeet,-249,YEE
