name,elo
Team Name,2389.67578977949
AAAKJ,2276.17284847851
maybenot,2274.89187342058
SWEET BUT SALTY,2193.23849338712
AlphaOne,2183.49115637287
preflop all in,2100.67467484401
andrew's bots,2024.06285551652
GoKinCobra,2010.48377018686
YEE,1983.3428224613
Heffalump Rangers,1940.42976016545
PotHotBot,1932.26129244501
¡WHAM!,1913.23623506067
Kappa Sigma C Team,1912.22810091058
my bad,1909.12252161605
 DevilMayCry,1896.57381746688
A.L.O.E.,1877.11340866828
BluffBot,1860.92206362053
Bananarchist,1859.06545209195
BigBlackJack,1859.01550245022
monochrome,1858.64743672737
OneBrother,1842.70891269959
kaonashi,1840.94567083636
Boners '22,1838.57005394365
Alev,1826.42461728812
Diamond Dogs,1819.35776927327
21,1809.4559254709
testing,1805.16604978956
pockerbots,1803.28940356761
Flush Boys,1802.78133721552
Jeff Lynne,1795.74048094212
yeet,1791.9284881493
Jigglybluff,1790.52726342976
Army Leggy,1783.21679911603
reference_staff,1776.77285223465
reference_lecture_2,1753.0120118102
CC Star,1725.11565739558
AlphaFish,1712.67523775102
fleabitten,1678.52030344497
O-Chul Fan Club,1670.07849785753
B),1592.65803470407
Icy,1568.14993560463
Jesus Christ,1554.40452571364
LadyMooseLizardPhi,1551.28189561263
Third Mid,1485.60763328865
Power JEM ,1421.44722335644
KKFlop,1414.77975470044
AP,1407.05202371234
Daniel Negreanu,1404.40111941166
:),1391.77140999681
Blind Plays,1361.83114992269
Hurrikeynes,1292.41251783024
IeetChips,1291.36547584493
No One,1206.07808880972
Queens Club,1178.36963288078
reference_checkcall,1055.34743519238
bobo,999.71702235322
SuperBots,930.720051101209
reference_lecture_1,924.050490959944
PokerBrots,913.8530810445
LigmaCapital,894.088219322253
pls STOP we BROKE,752.749274343906
reference_random,640.958983447159
player1,567.526985698342
Army of One,448.44199287191
Juul in the Rough,437.478144613021
Tom Brady,406.637784068301
BadBeatBot,142.944670896848
Pass,-387.909115110738
TeamRocket,-469.152650076992
