anonymous_id,total_gold,stack_1,stack_2,stack_3,stack_4,stack_5,stack_6,stack_7,stack_8,stack_9
da0b4ab0-b629-44db-a0ca-0f4b7b1d74f0,3604,27,51,71,92,116,137,167,336,3
4fc73ca6-46dc-4101-984d-252ee67df200,3604,28,54,64,91,158,185,201,217,2
5061a9d5-c1d8-4ce6-ae72-f079d7f7dcac,3602,3,5,116,20,140,117,176,237,186
c9d16d85-7e5e-41c3-8228-cb3886cc4f64,3602,5,14,21,26,57,101,206,235,335
a3bd48be-f36e-40e0-9f46-b7716dcf629c,3599,26,51,71,91,116,141,161,181,162
2fe8c901-841d-4267-9d66-b295ac3b0f87,3599,2,45,50,100,150,200,200,251,2
4a7c5245-a1bf-42f5-8aec-9bba3d21f97e,3588,3,6,20,25,75,226,475,100,70
4b113c4f-5822-4f36-8c99-b20c23d3ad99,3587,2,2,2,2,201,237,251,301,2
c178884e-c216-410f-b0ee-763a3956c593,3584,10,10,30,50,100,150,200,250,200
4378f0d5-3dc6-422c-b7a3-1f70621386b2,3581,51,88,103,121,119,81,210,221,6
d4256ae1-a1b3-4b53-b883-e85aa2862ea8,3581,14,44,79,100,147,188,211,216,1
98fdc5b0-a412-4e60-aaa7-83ee85c1c9f6,3576,19,1,9,65,147,139,143,226,251
45fd0258-0335-4da0-8f24-946d02976484,3576,26,126,127,125,141,143,143,143,26
a606c73e-9e45-423b-8bce-19b04656b59a,3569,0,25,67,2,120,135,201,210,240
14234d2a-658d-4b67-808d-d37c45cdb9dd,3566,1,1,116,160,200,240,280,1,1
097cf7ce-504a-4927-8114-0e420b69d1cb,3564,2,2,3,14,139,140,185,224,291
6cef6ac5-c99b-4386-8bff-ccdbb6ef18be,3561,11,11,11,46,92,138,184,230,277
9fc58fb6-3555-44f3-bd56-f96401af4e71,3558,37,3,109,15,23,134,152,258,269
372ffda8-d55b-46ad-8fe7-2e9659e27b30,3558,2,2,2,102,102,152,182,203,253
b741fd97-6366-457b-8468-1fa690b10cab,3548,40,41,41,102,150,81,121,212,212
954b63e4-021e-4661-9273-aab054f547f6,3535,27,54,81,111,138,167,196,225,1
9da61442-be49-4ab8-9e4c-2ef0480a8dbd,3531,37,73,110,146,0,0,0,291,343
8561bc04-38d9-441d-beed-638755463457,3530,0,14,61,0,0,245,0,330,350
bfa5363f-1d61-48ce-a74b-299a7b005387,3522,1,1,1,1,1,135,260,390,210
084ec32d-9517-4dde-87fc-04f470e60990,3522,1,50,50,50,50,150,150,449,50
99fb1776-0838-4e92-89e8-cb39ef9aaa49,3515,2,2,2,150,193,150,250,250,1
b172c1ad-c9dc-4ff9-838b-dfdf2c054205,3508,9,46,67,91,113,135,157,179,203
09db6532-b363-4e11-a160-43ee6f047c5f,3507,0,0,0,0,174,205,206,207,208
69dcd9df-1b97-47fd-af1d-bde06826861a,3492,10,20,30,40,60,120,180,240,300
2ebeacbc-e2f5-409f-8c99-a4b074b293ff,3485,13,41,0,81,101,121,301,161,181
6d29db3b-e1e0-4281-9d81-9dd9da3e55cb,3478,33,43,63,83,103,134,183,34,324
72e2628e-35a3-46fe-a92b-841638e11879,3474,70,77,26,22,145,126,162,150,222
cea66b91-de70-421e-9086-ec9dc322e19b,3473,19,42,65,88,110,132,155,178,211
1c176b8a-ce5d-420f-9609-5764e58434ed,3469,7,29,8,241,99,101,172,312,31
9c313da1-0655-4e4d-9850-b7cf6b8b9c8b,3460,6,181,186,6,196,201,201,11,12
e17c3771-d047-43d8-8c47-0cd436bdd4ce,3457,55,84,31,140,90,121,72,176,231
7235d48c-b5c4-43ab-85dd-cbcb7d32fa65,3452,45,130,130,130,130,130,130,130,45
e4c24e1f-b39a-4852-9f79-c9ee9f45c2ba,3448,50,130,130,130,130,130,130,120,50
57d51610-0113-4fb8-91b1-2c8431f8e1c1,3447,1,1,2,3,103,141,185,249,315
d2561f96-c5c8-4b34-a084-c22efb6babf3,3439,0,45,55,78,141,206,229,246,0
8bd7626e-2e5c-4fa6-beba-d8127d2f0f0c,3432,10,10,10,120,150,250,0,450,0
bc8739da-f814-4bc7-94af-39c24f95432b,3428,0,0,70,51,113,106,160,250,250
a814abc7-d85c-4c99-bbbf-ca6650b9ea6b,3427,24,44,67,91,108,134,150,173,209
e0231b9a-e607-4eb9-a629-527d925b8d03,3419,16,46,50,85,89,106,171,176,261
d33a3ffe-fc8f-4b10-ae21-0a15f57d77d3,3417,23,45,67,89,111,133,156,177,199
fb643810-cf74-4288-beb8-2bce3b8f3854,3414,5,20,30,0,210,315,315,105,0
654b9857-9773-438c-8a8a-b43b689c1293,3410,22,22,22,22,103,103,500,103,103
876ad394-8e6f-4c68-a3d0-c9e7656f2173,3408,0,0,31,65,101,151,301,351,0
c93bc86c-821a-482a-8f4c-78168baec882,3383,15,20,40,25,50,110,170,165,405
f7080f42-52f5-4acb-a09d-ac7f3d154f60,3370,30,29,28,109,100,91,170,21,422
ac8600f4-9a69-4f74-9329-dc47ee3fc48f,3350,1,4,8,13,26,50,165,282,451
63d757b0-aa8d-4990-a9a9-e4400ccce56b,3349,1,142,142,142,142,142,142,142,5
1032ce3d-3408-476b-90e7-73dda5b74727,3345,26,35,45,60,70,100,110,215,339
39099b46-43e2-43cb-902c-88086a498c54,3333,2,2,188,201,201,201,201,2,2
ee05c468-3168-46f6-9e82-310cf04ab4f3,3331,33,33,34,50,150,100,100,100,400
da8be917-eb5b-428b-946d-701c3ca1cdd2,3322,0,5,5,5,5,25,226,226,503
09396c68-58ca-4ef5-a4ad-61825491406c,3308,82,96,85,100,115,110,104,103,205
